,Mauritania
1961,159213140.004051
1962,164271590.835712
1963,168186331.270673
1964,224495789.256207
1965,255340526.737952
1966,266533659.152642
1967,282615367.46074
1968,311396000.315982
1969,295062138.074299
1970,309405316.058687
1971,335569088.717811
1972,391669449.251139
1973,493237544.355137
1974,613010958.147763
1975,703378653.356286
1976,775046377.587057
1977,799029666.594278
1978,804629876.761441
1979,951900945.208912
1980,1047924649.1165
1981,1105495368.37572
1982,1108776010.2532
1983,1165170625.65109
1984,1074373735.44942
1985,1009723326.31511
1986,1186628778.51429
1987,1344665270.69518
1988,1414951854.08606
1989,1450647019.18099
1990,1506914407.82047
1991,2133688270.32436
1992,2164292208.16528
1993,1847350611.72458
1994,1944876755.00708
1995,2091731420.68923
1996,2132081881.91398
1997,2072001066.8212
1998,2032345831.83005
1999,1985924386.91448
2000,1779523344.34106
2001,1746064718.79169
2002,1777058592.98812
2003,2051147606.73687
2004,2362501023.24249
2005,2936019525.60241
2006,3919577285.92703
2007,4346206808.54026
2008,5206444406.66154
2009,4714592492.92972
2010,5628878865.99027
2011,6764627665.69239
2012,6728208836.22143
2013,7223071177.15856
2014,6592537781.81518
2015,6166863960.00061
2016,6398747531.60142
2017,6800135961.61412
2018,7352533585.59316
2019,7889655284.47161
2020,7915985513.70246
2021,8227580740.49889
