,Mauritius
1976,704033525.405972
1977,823634464.910024
1978,1015365145.29554
1979,1211141231.11555
1980,1131788191.50736
1981,1142393554.52358
1982,1078408829.616
1983,1090276947.25872
1984,1040557089.33864
1985,1076121094.38239
1986,1462900255.4506
1987,1880852914.22714
1988,2134517067.65295
1989,2181930254.82301
1990,2653480001.34558
1991,2856890680.60285
1992,3224267547.80508
1993,3263368410.01813
1994,3558137040.37772
1995,4040345933.2923
1996,4421943910.49749
1997,4187367601.73431
1998,4169664285.38681
1999,4343710332.80658
2000,4663313620.01707
2001,4613630622.77501
2002,4841310239.63687
2003,5816553826.85519
2004,6578844486.06288
2005,6488750452.60067
2006,7028803365.70151
2007,8150138757.15741
2008,9990370016.30771
2009,9128843109.15588
2010,10003670690.3497
2011,11518393367.2403
2012,11668685524.1265
2013,12129642296.4425
2014,12803445933.5894
2015,11692287066.381
2016,12232463655.5727
2017,13259351418.4459
2018,14181951058.5129
2019,14045808843.221
2020,10926820603.402
2021,11156657769.6974
