,"Micronesia, Fed. Sts."
1983,106500000.0
1986,112210000.0
1987,116700000.0
1988,124700000.0
1989,135200000.0
1990,147200000.0
1991,166200000.0
1992,178100000.0
1993,198400000.0
1994,202500000.0
1995,221575300.0
1996,218534700.0
1997,206626300.0
1998,218873100.0
1999,220140500.0
2000,233271800.0
2001,240970900.0
2002,242517200.0
2003,245432900.0
2004,240236000.0
2005,250281900.0
2006,253541900.0
2007,256787200.0
2008,263145100.0
2009,280284600.0
2010,296944100.0
2011,311301600.0
2012,327248700.0
2013,317214400.0
2014,319271200.0
2015,316489900.0
2016,332265200.0
2017,366666800.0
2018,401932300.0
2019,412479413.362129
2020,407515927.98229
2021,404178049.753978
