,Middle East & North Africa (IDA & IBRD countries)
1965,23598030672.0572
1966,24597066916.4579
1967,26628624968.3914
1968,29296104890.4488
1969,32503318992.9624
1970,36710755341.4764
1971,42086849126.5161
1972,50218671624.4264
1973,66663188760.9677
1974,101622378921.642
1975,118246390598.965
1976,145958720981.214
1977,168917789124.099
1978,181557433368.636
1979,226457249968.954
1980,271186214026.958
1981,264651939812.785
1982,303545092933.064
1983,341133659368.506
1984,361164360731.102
1985,393775766785.773
1986,442523317255.315
1987,386998173385.759
1988,355278070297.493
1989,357270529707.339
1990,502613125061.16
1991,260425469797.352
1992,286788732889.473
1993,294463288520.077
1994,315701355265.223
1995,367911230846.822
1996,424486868010.388
1997,448650738638.59
1998,457187340911.521
1999,497321516549.255
2000,527700094132.4
2001,533950939517.417
2002,519901603293.931
2003,567773701363.921
2004,674691194233.748
2005,796900907192.62
2006,929713942594.596
2007,1134590849025.21
2008,1399622302176.41
2009,1362253652774.7
2010,1570449574094.67
2011,1622579629302.7
2012,1744853256602.17
2013,1602807885620.79
2014,1578390758099.95
2015,1417017982384.9
2016,1452032312248.72
2017,1439065787706.94
2018,1364248347470.91
2019,1374849440489.58
2020,1248309123457.61
2021,1437882615132.05
