,Middle East & North Africa (excluding high income)
1965,23810561532.2858
1966,24818595393.2831
1967,26868450259.3187
1968,29559954296.3693
1969,32796053519.9176
1970,37041383287.5451
1971,42465895767.0378
1972,50670955869.167
1973,67263577202.268
1974,102537620193.715
1975,119311352648.645
1976,147273268494.06
1977,170439112811.206
1978,183192593439.024
1979,228496791098.88
1980,273628597467.774
1981,267035473642.843
1982,306278910030.591
1983,344206010239.055
1984,364417114036.53
1985,397322228082.278
1986,446508813443.303
1987,390483593666.782
1988,358477809926.194
1989,360488214016.18
1990,507139807872.787
1991,262770938785.449
1992,289371637240.769
1993,297115312194.621
1994,318544655265.223
1995,371194030846.822
1996,427896468010.388
1997,452410538638.589
1998,461255140911.521
1999,501592716549.255
2000,532013694132.4
2001,537954639517.417
2002,523457403293.931
2003,571741701363.921
2004,679294294233.748
2005,802026607192.62
2006,935062242594.596
2007,1140406549025.21
2008,1406932702176.41
2009,1370339352774.7
2010,1580131074094.67
2011,1633765729302.7
2012,1757061656602.17
2013,1616323385620.79
2014,1592380458099.95
2015,1430990382384.9
2016,1467437712248.72
2017,1455193787706.94
2018,1380524947470.91
2019,1391982940489.58
2020,1263840405685.41
2021,1455921395695.44
