,Moldova
1995,1752979926.41489
1996,1695122173.91304
1997,1930081168.83117
1998,1698717504.65549
1999,1170782957.37443
2000,1288429391.79951
2001,1480673594.05602
2002,1661818168.4226
2003,1980907434.76826
2004,2598249555.89984
2005,2988348836.471
2006,3408244549.19999
2007,4401189466.14058
2008,6054849884.52656
2009,5439422031.39627
2010,6974982392.67155
2011,8414351671.95869
2012,8709138764.75916
2013,9496717702.44839
2014,9510198961.57287
2015,7745241912.94722
2016,8071469355.2527
2017,9669741744.22001
2018,11457443185.0542
2019,11971345002.7757
2020,11859730543.5525
2021,13679221333.2052
