,Namibia
1980,2422096074.60195
1981,2249854739.97265
1982,2118741468.87088
1983,2297400687.55049
1984,1951229617.56931
1985,1608219310.31543
1986,1809073861.75055
1987,2300105497.10216
1988,2495059627.44667
1989,2535113565.48595
1990,2789944497.97086
1991,2996885561.14873
1992,3429538534.36185
1993,3251230620.92603
1994,3666501464.45871
1995,3978497753.02583
1996,3989208661.87519
1997,4154955685.76389
1998,3873098656.00637
1999,3868541599.14887
2000,3922247989.85562
2001,3557333364.30795
2002,3349184760.02543
2003,4926471294.30116
2004,6609198832.76313
2005,7248394160.35502
2006,8001779551.06323
2007,8839526451.57632
2008,8607475308.11833
2009,8938868165.39165
2010,11431334447.4305
2011,12523402328.7671
2012,13042007432.4489
2013,12043276397.1652
2014,12435416060.2791
2015,11335179562.0211
2016,10721994676.6562
2017,12895153160.466
2018,13682062249.2236
2019,12543203410.6928
2020,10562637375.594
2021,12236250784.1336
