,Netherlands
1960,12276734172.0828
1961,13493833739.9949
1962,14647057370.1418
1963,15891241386.291
1964,18699380731.3465
1965,21000586933.2041
1966,22867203317.4022
1967,25087562181.3218
1968,27817605743.2503
1969,34035946604.1815
1970,38164716625.0685
1971,44579122807.0175
1972,54706557264.4878
1973,71840909664.1968
1974,87243413394.5405
1975,100249523353.085
1976,109168720620.103
1977,127016990212.804
1978,155859695457.323
1979,179669405690.432
1980,195152092662.381
1981,164134217080.279
1982,158479527935.958
1983,153445465987.182
1984,143912664148.352
1985,143845822717.622
1986,200862095700.666
1987,245046310922.541
1988,261910508417.884
1989,258336705808.999
1990,318330511920.61
1991,327500327675.625
1992,362962872180.451
1993,353550169672.52
1994,379130260322.073
1995,452301674444.139
1996,450490196078.431
1997,416812740004.518
1998,438008220395.468
1999,447049523049.808
2000,417479337444.707
2001,431586852369.686
2002,473861980070.981
2003,580070360701.96
2004,658380081545.175
2005,685348181515.953
2006,733955269898.823
2007,848558887541.179
2008,951869997864.062
2009,871518638049.218
2010,847380859016.668
2011,905270626332.687
2012,838923319919.531
2013,877172824534.512
2014,892167986713.722
2015,765572770634.375
2016,784060430240.08
2017,833869641687.06
2018,914043438179.607
2019,910194347568.626
2020,913865395789.886
2021,1018007056949.6
