,New Caledonia
1965,159594492.305421
1966,164206536.282355
1967,180036767.470358
1968,215507162.355259
1969,263108841.079319
1970,358815683.716576
1971,413985777.685123
1972,506808996.960104
1973,542293400.029889
1974,637403479.730466
1975,816652167.281991
1976,798313524.684948
1977,837620127.336728
1978,846004692.263586
1979,1047225724.45385
1980,1182463958.69814
1981,972564156.970676
1982,904599871.542715
1983,823857894.292764
1984,796066192.88484
1985,854820894.100386
1986,1201321509.28302
1987,1488093104.4984
1988,2072775508.14796
1989,2185082943.45154
1990,2529440424.29422
1991,2653781629.2631
1992,2923883311.46345
1993,2822244192.11073
1994,3038727541.99762
1995,3628441984.43927
1996,3606968707.46398
1997,3291130071.54057
1998,3556305296.84759
1999,3647802505.91916
2000,3420033046.95784
2001,3297734668.3899
2002,3740057132.98621
2003,4915355784.02368
2004,5895011251.5675
2005,6238632283.76502
2006,6979153331.71296
2007,8819922042.42417
2008,9067623001.04885
2009,8704436169.14341
2010,9364347372.04626
2011,10351442208.992
2012,9659153061.35633
2013,10151385305.7645
2014,10635039738.6899
2015,8738205836.7394
2016,8724570249.74306
2017,9173668102.13844
2018,9846922416.14776
2019,9438130987.37298
2020,9435529927.2471
