,New Zealand
1960,5485854791.97096
1961,5670064168.21773
1962,6077496267.76294
1963,6638937283.13963
1964,7274144350.81809
1965,5654463586.00366
1966,5863733230.97616
1967,5961418093.53003
1968,5180597620.64135
1969,5761588761.69421
1971,7911136757.06867
1972,9567331064.65727
1973,12802281897.8712
1974,13940981798.1247
1975,12861983284.3912
1976,13604832424.0062
1977,15446825318.4556
1978,18530518394.6488
1979,20731243113.2926
1980,23244547384.6748
1981,24417617184.2478
1982,24164603058.9949
1983,24309279705.5731
1984,21665975318.8842
1985,24679795396.4194
1986,30604668356.5695
1987,40376354069.9474
1988,45176811594.2029
1989,43920222524.7085
1990,45495129385.0475
1991,42745329732.163
1992,41649829859.6342
1993,46775620817.4327
1994,55314732279.1379
1995,63918703506.9075
1996,70140835299.0148
1997,66075143415.4952
1998,56227169851.0448
1999,58762260625.8758
2000,52623281956.7031
2001,53872425916.6248
2002,66627729311.4495
2003,88250885550.2626
2004,103905210084.034
2005,114720129550.095
2006,111538810712.665
2007,137188946865.584
2008,133131369930.414
2009,121373602348.679
2010,146517541181.254
2011,168291357111.739
2012,176206659722.524
2013,190906575136.003
2014,201313497220.917
2015,178064471137.921
2016,188838342527.975
2017,206623758800.159
2018,211953111035.513
2019,213434571357.984
2020,211734532308.013
2021,249991512236.526
