,Nicaragua
1960,223854666.666667
1961,240524723.428571
1962,265291588.666667
1963,292916241.142857
1964,341973758.857143
1965,566542872.357143
1966,606671444.0
1967,657171436.714286
1968,695899980.428571
1969,747971449.571429
1970,776585681.071429
1971,826571413.428571
1972,880842890.071429
1973,1093571441.5
1974,1520900045.14286
1975,1590428522.64286
1976,1847871371.71429
1977,2239857060.57143
1978,2142128603.78571
1979,1527852635.63158
1980,2189347367.52632
1981,2448290109.65
1982,2465165179.69565
1983,2743341724.08333
1984,3105517091.41379
1985,2683816288.83721
1986,2885710608.87417
1987,3851213727.71428
1988,2631096767.03252
1989,1013184745.70715
1990,1009455483.87097
1991,1488804123.71134
1992,1792800000.0
1993,1756454248.36601
1994,3863185119.04762
1995,4140470000.0
1996,4308351902.78601
1997,4389965590.96538
1998,4635267224.84195
1999,4855717874.68247
2000,5107329007.0922
2001,5323146565.70315
2002,5224213017.54386
2003,5322454925.84746
2004,5795568204.64532
2005,6321335612.22233
2006,6763361732.88486
2007,7423313548.52698
2008,8496946608.23151
2009,8298679908.55232
2010,8758639096.47693
2011,9774307336.23792
2012,10532006608.1447
2013,10982979274.1922
2014,11880434070.7811
2015,12756706583.3113
2016,13286083644.8761
2017,13785909906.1925
2018,13025239912.2751
2019,12596636042.2321
2020,12586941392.6347
2021,14013022092.0645
