,Niger
1960,449526872.562553
1961,485785234.940376
1962,531736492.909178
1963,586294761.493516
1964,582816358.347155
1965,673383604.238783
1966,702296184.361344
1967,665586975.088302
1968,641214210.668969
1969,625867922.677513
1970,649916708.242418
1971,693573595.320975
1972,742779740.393512
1973,946385033.011918
1974,1026136974.47536
1975,1048690933.21027
1976,1064517574.56042
1977,1291457973.12517
1978,1774365275.18226
1979,2109278101.9887
1980,2508524186.43352
1981,2170893038.90053
1982,2017611927.4037
1983,1803099731.54257
1984,1461243212.42814
1985,1440581533.7564
1986,1904097020.29333
1987,2233005822.58534
1988,2280356338.22867
1989,2179567107.50159
1990,3512356353.0798
1991,3285796979.79737
1992,3386232592.01834
1993,3052673622.85839
1994,1938058161.25116
1995,2302537682.18029
1996,2405687081.12795
1997,2290318800.33457
1998,2643363406.97664
1999,2537790022.73535
2000,2241753120.21267
2001,2448714680.56221
2002,2782192986.95772
2003,3394084884.67098
2004,3760443965.72976
2005,4383315656.99096
2006,4756361479.98873
2007,5731485267.33492
2008,7297600896.86099
2009,7352131669.2941
2010,7851191899.3408
2011,8772951261.81807
2012,9426913349.22319
2013,10224897934.722
2014,10862944203.5591
2015,9683867893.68343
2016,10398862244.9737
2017,11185102399.5762
2018,12808660528.0617
2019,12916455161.1081
2020,13741378450.136
2021,14950949875.2729
