,Nigeria
1960,4196092258.15484
1961,4467200335.99328
1962,4909302953.94092
1963,5165489010.2198
1964,5552822483.55033
1965,5874422511.54977
1966,6366792664.14672
1967,5203135937.28125
1968,5200895982.08036
1969,6634187316.25367
1970,12545849083.0183
1971,9181769911.50443
1972,12274416017.7976
1973,15162871287.1287
1974,24846641318.1242
1975,27778934624.6973
1976,36308883248.731
1977,36035407725.3219
1978,36527862208.7133
1979,47259911894.2731
1980,64201788122.6054
1981,164475209515.939
1982,142769363314.176
1983,97094911792.0489
1984,73484359521.4887
1985,73745821158.2254
1986,54805852580.9129
1987,52676041931.1087
1988,49648470440.4593
1989,44003061108.4005
1990,54035795387.8086
1991,49118433047.5318
1992,47794925814.7558
1993,27752204320.0883
1994,33833042987.7582
1995,44062465800.1706
1996,51075815092.5
1997,54457835193.4927
1998,54604050168.1818
1999,59372613485.6576
2000,69448756932.5833
2001,74030364472.0506
2002,95385819320.5737
2003,104911947834.122
2004,136385979322.437
2005,176134087150.341
2006,236103982431.635
2007,275625684968.615
2008,339476215683.592
2009,295008767295.038
2010,361456622215.721
2011,404993594133.582
2012,455501524575.498
2013,508692961937.492
2014,546676374567.721
2015,486803295097.89
2016,404650006428.613
2017,375746469538.666
2018,397190484464.308
2019,448120428858.769
2020,432293776262.398
2021,440776971536.015
