,North Macedonia
1990,4699646643.10954
1991,4938775510.20408
1992,2436849341.97604
1993,2682456896.55172
1994,3559607241.25816
1995,4707036096.48961
1996,4642018353.67211
1997,3912986090.97363
1998,3765747304.98681
1999,3863621185.97303
2000,3772857145.0248
2001,3709637829.94866
2002,4018365247.44444
2003,4946292774.79046
2004,5682788267.12865
2005,6258600713.82627
2006,6861222331.96317
2007,8336478142.08872
2008,9909548410.82744
2009,9401731495.71661
2010,9407168702.4313
2011,10494632699.3859
2012,9745251126.0109
2013,10817712138.9451
2014,11362272837.8818
2015,10064515432.0265
2016,10672471860.7184
2017,11307058382.3435
2018,12683070061.4695
2019,12606338448.547
2020,12116981815.2261
2021,13879269151.5718
