,OECD members
1960,1080909941032.12
1961,1136640692448.18
1962,1226904817572.13
1963,1322445467392.22
1964,1445364682391.14
1965,1568735247631.06
1966,1721759906507.8
1967,1848298487630.48
1968,2004941814318.39
1969,2205472899493.23
1970,2403724379310.53
1971,2662061908359.41
1972,3087844831567.31
1973,3730650295041.25
1974,4180266443928.32
1975,4685536866132.88
1976,5081335796825.04
1977,5732831945824.68
1978,6887311573138.99
1979,7955608607803.29
1980,8841801780535.95
1981,9000832732018.64
1982,8866175724583.18
1983,9156194303932.32
1984,9575763726513.04
1985,10085317596984.8
1986,12215381330603.2
1987,14146636176236.4
1988,15945549774799.8
1989,16686842763214.5
1990,18798023223181.7
1991,19895938493245.5
1992,21398668236986.0
1993,21690689924245.5
1994,23274311299329.1
1995,25657405842687.1
1996,25873813602647.4
1997,25479203585066.0
1998,25739685812688.2
1999,27034188843085.3
2000,27628221089532.2
2001,27366042969851.6
2002,28557668880261.0
2003,31947691569128.3
2004,35567906112656.7
2005,37605893572983.4
2006,39677309379590.6
2007,43445027582701.6
2008,46125640157736.1
2009,43150641793202.8
2010,45256835507640.8
2011,48684651674634.8
2012,48636393238635.7
2013,49291557683427.5
2014,50304127205366.7
2015,47434878193306.0
2016,48354878171224.4
2017,50468487779733.6
2018,53389616112315.2
2019,53898740687188.2
2020,52333093047631.9
2021,57920170928484.4
