,Pacific island small states
1971,437482815.314898
1972,525666775.737469
1973,716754963.634971
1974,1018327056.28433
1975,1137380705.79395
1976,1140502879.15795
1977,1189909678.30419
1978,1380000471.96435
1979,1690740332.00709
1980,1962008426.28886
1981,2021202436.64741
1982,1974528023.44178
1983,1877753034.67577
1984,1978547512.46502
1985,1873388539.78327
1986,2043242466.1136
1987,1985549426.74121
1988,2031704619.64013
1989,2100465735.61025
1990,2351583195.83206
1991,2500690380.05
1992,2743211886.89511
1993,2908235449.51597
1994,3426386697.2597
1995,3717232229.14537
1996,3979150347.61621
1997,3986153101.90039
1998,3413330431.39213
1999,3751226193.29682
2000,3435939280.0063
2001,3389637939.08494
2002,3559099632.00046
2003,4173849799.99059
2004,4806887372.28291
2005,5341917001.93718
2006,5608853529.47852
2007,6197023921.47684
2008,6633206424.09817
2009,5960880972.95578
2010,6566253870.75891
2011,7712816560.36241
2012,8188147239.15853
2013,8498746217.43669
2014,9225908806.60407
2015,9020208143.93682
2016,9461610627.54152
2017,10217604992.4423
2018,10657544778.1169
2019,10644265612.3514
2020,9573379122.14219
2021,9749476210.01643
