,Pakistan
1960,3749265014.69971
1961,4118647627.04746
1962,4310163796.72407
1963,4630827383.45233
1964,5204955900.88198
1965,5929231415.37169
1966,6561108777.82444
1967,7464510709.7858
1968,8041999160.0168
1969,8683116337.67325
1970,10027509449.811
1971,10665896682.0664
1972,9415016359.56604
1973,6383429490.21091
1974,8899191919.19192
1975,11230606060.6061
1976,13168080808.0808
1977,15126060606.0606
1978,17811515151.5152
1979,19688383838.3838
1980,23654444444.4444
1981,28100606060.6061
1982,30725971563.981
1983,28691889763.7795
1984,31151825467.4978
1985,31144920844.3272
1986,31899070055.7967
1987,33351529274.6869
1988,38472742808.3167
1989,40171018229.0715
1990,40010423970.4576
1991,45625234697.7094
1992,48884606848.1265
1993,51809949334.2396
1994,52293456906.2665
1995,60636022422.6176
1996,63320122807.1223
1997,62433300338.0941
1998,62191955814.3478
1999,62973855718.8874
2000,82017743416.2841
2001,79484403984.8849
2002,79904985384.8652
2003,91760542940.0717
2004,107759683863.123
2005,120055291992.938
2006,137264061106.043
2007,152385716311.916
2008,170077814106.305
2009,168152775283.032
2010,177165635077.065
2011,213587413183.996
2012,224383620829.57
2013,231218567178.979
2014,244360888750.807
2015,270556131701.171
2016,313629858859.587
2017,339205615769.187
2018,356128224957.085
2019,320909489229.723
2020,300306331697.668
2021,346343170486.072
