,Papua New Guinea
1960,230496032.981216
1961,244832035.032526
1962,261184037.372302
1963,275968039.487715
1964,305312043.68649
1965,344159480.344943
1966,390973233.284802
1967,441706910.068317
1968,485160824.280435
1969,551237316.608803
1970,645537126.217942
1971,717716130.493883
1972,858802035.928144
1973,1299105240.73285
1974,1467346059.99713
1975,1356591176.85561
1976,1511856584.25833
1977,1640763204.44781
1978,1947947524.33347
1979,2293621944.36639
1980,2545983007.89984
1981,2498068350.66865
1982,2368584969.53284
1983,2562492524.81761
1984,2552526263.0759
1985,2423373088.07358
1986,2648033765.69899
1987,3143848331.31402
1988,3655979702.45646
1989,3546460176.99115
1990,3219730364.99623
1991,3787394957.98319
1992,4377980510.05598
1993,4974550286.18152
1994,5502786069.65174
1995,4636057476.42568
1996,5155311077.38998
1997,4936615298.79367
1998,3789443014.61662
1999,3477038204.01733
2000,3521339699.07407
2001,3081024212.42924
2002,2999511040.19764
2003,3536411824.2958
2004,3927157866.96465
2005,4865892972.27595
2006,8355006706.57899
2007,9545177014.1301
2008,11670840931.8173
2009,11619637798.991
2010,14250755231.1257
2011,17984910501.8979
2012,21295659243.6168
2013,21261432791.2675
2014,23210682538.3928
2015,21723531173.2409
2016,20759069103.0961
2017,22742613553.6879
2018,24109509852.7402
2019,24751344560.8856
2020,24667052023.1214
2021,26594277245.782
