,Peru
1960,2571908062.08791
1961,2899654840.37313
1962,3286773187.87313
1963,3600957771.15672
1964,4356913870.14925
1965,5166861068.28358
1966,6113607727.98507
1967,6204253758.60927
1968,5736083835.14212
1969,6420909789.66408
1970,7432223176.74419
1971,8289582883.46253
1972,9189413409.04393
1973,10994381894.832
1974,13858441211.1111
1975,16877163792.0988
1976,15947709379.6099
1977,14620386674.2243
1978,12519809967.3077
1979,15934081741.3333
1980,18127754429.0657
1981,21664528002.6066
1982,21781007709.1691
1983,17330726371.1656
1984,17584444209.7983
1985,16548827018.0
1986,15244232958.0
1987,20702298397.0
1988,15439408447.2
1989,22499559086.0587
1990,26410386669.3532
1991,34341465998.2003
1992,35966302303.263
1993,34832077220.8537
1994,44882079766.8913
1995,53312793687.3836
1996,55252414130.3019
1997,58147522522.5225
1998,55501467877.381
1999,50187324567.883
2000,51744749133.213
2001,52030158775.4055
2002,54777553515.0809
2003,58731030121.8671
2004,66768703497.5687
2005,76060606060.6061
2006,88643193061.748
2007,102170981144.136
2008,120550599815.441
2009,120822986521.479
2010,147528937028.778
2011,171761737046.585
2012,192648999090.082
2013,201175469114.327
2014,200789362451.567
2015,189805300841.603
2016,191895943823.887
2017,211007207483.515
2018,222597212925.211
2019,228323495040.901
2020,201705055938.653
2021,223249497500.387
