,Pre-demographic dividend
1960,20936197437.5538
1961,21644539085.4343
1962,23637172382.0778
1963,27546878887.8806
1964,25661288233.4324
1965,28922529606.1696
1966,31767088061.7713
1967,29993847987.5744
1968,31613474851.4749
1969,35804457932.5808
1970,43798209066.926
1971,42810165004.8945
1972,49799353716.3927
1973,61172029609.7409
1974,86755792011.4572
1975,99113736402.3213
1976,116240364815.953
1977,128621005754.275
1978,143255467657.711
1979,180812333339.338
1980,222842762484.233
1981,309751684917.597
1982,289824561016.451
1983,231920838921.768
1984,212386947496.85
1985,214215535704.085
1986,206355838421.852
1987,226086782132.485
1988,237161331377.753
1989,240124546022.62
1990,393436457374.943
1991,207465301173.644
1992,164205883581.155
1993,146225493646.87
1994,136205664909.79
1995,173739181659.983
1996,192710221636.999
1997,212322048157.676
1998,219161157501.389
1999,239616071990.792
2000,277541269067.626
2001,265229106196.245
2002,304056565582.667
2003,330387777421.167
2004,412490146408.852
2005,514900290335.576
2006,647707778931.824
2007,784315909279.944
2008,982343958366.104
2009,898448026508.219
2010,1050873574892.35
2011,1220709296705.81
2012,1328911602322.19
2013,1455530908006.03
2014,1530149667900.49
2015,1322540304458.42
2016,1214494552345.81
2017,1293918591719.65
2018,1322706441706.9
2019,1393565082221.82
2020,1309752047432.1
2021,1433124281341.12
