,Romania
1987,38413636363.6364
1988,40809523809.5238
1989,42105263157.8947
1990,38995454545.4545
1991,28998684210.5263
1992,25121666666.6667
1993,26362894736.8421
1994,30074440483.3837
1995,37435317265.1254
1996,36937074278.3004
1997,35574916294.6429
1998,41694118972.5101
1999,35952781582.2083
2000,37253259016.9976
2001,40394824679.1232
2002,46066101951.2933
2003,57806506024.0964
2004,74972669056.5922
2005,98452791982.7024
2006,122022997508.01
2007,174585202805.233
2008,214313628965.024
2009,174103695930.213
2010,166309355234.589
2011,183326740143.016
2012,170635805316.879
2013,190801346194.297
2014,199959363430.073
2015,177729210874.504
2016,188128818486.401
2017,211695422578.655
2018,241457403085.042
2019,249881592298.072
2020,249511333647.502
2021,284087563695.798
