,Rwanda
1960,119000024.0
1961,122000016.0
1962,125000008.0
1963,128000000.0
1964,129999994.0
1965,148799980.0
1966,124525702.857143
1967,159560018.0
1968,172200018.0
1969,188700037.0
1970,219900006.0
1971,222952578.196381
1972,246457838.336681
1973,290746157.145921
1974,308458423.183854
1975,571863295.740122
1976,637754162.101094
1977,746650558.55469
1978,905709147.27019
1979,1109346220.52885
1980,1254765349.93185
1981,1407062607.63214
1982,1407242640.23211
1983,1479688125.8852
1984,1587412957.22263
1985,1715625839.17973
1986,1944711061.30888
1987,2157434025.16467
1988,2395493877.51365
1989,2405021932.89997
1990,2550185618.14774
1991,1911600969.76612
1992,2029026704.02707
1993,1971525998.87685
1994,753636370.454545
1995,1293535010.94467
1996,1382334879.40812
1997,1851558301.7002
1998,1989343495.21844
1999,2155707325.1365
2000,2067579822.43604
2001,1965500949.34016
2002,1964832511.92978
2003,2137156726.89736
2004,2375376873.10914
2005,2932340855.31852
2006,3318107347.2799
2007,4068224991.08702
2008,5177230923.28829
2009,5671592572.19972
2010,6121529488.49049
2011,6881379761.83833
2012,7650671476.94976
2013,7815975293.67372
2014,8234762201.03869
2015,8539424910.07969
2016,8690878327.95492
2017,9252834120.39358
2018,9642440645.81148
2019,10356327149.4262
2020,10184345442.1708
2021,11070356519.4804
