,Samoa
1982,121221651.619316
1983,111862823.574979
1984,109200934.328518
1985,95572172.9835657
1986,100947848.64478
1987,111713922.141578
1988,133016065.416065
1989,122888609.715243
1990,125766269.755358
1991,125597205.422315
1992,132303041.36253
1993,133122897.196262
1994,221098106.508876
1995,224865731.381903
1996,249908970.658971
1997,285475591.89651
1998,269481523.200465
1999,255410025.249734
2000,258856138.707307
2001,266299603.522766
2002,281793614.913827
2003,333428714.373539
2004,407749576.870663
2005,476801791.149393
2006,499923741.369751
2007,573548460.427945
2008,641346174.895904
2009,628006123.268896
2010,663161528.405016
2011,737401684.079882
2012,760549577.698957
2013,770059564.970021
2014,756805950.228193
2015,788307314.850856
2016,799493897.539886
2017,832025556.081401
2018,821286938.902743
2019,852007104.660046
2020,807147527.615094
2021,788389971.603065
