,Senegal
1960,1003692374.56213
1961,1058975265.60578
1962,1085475573.50828
1963,1122139637.2651
1964,1188930567.7084
1965,1210058396.05584
1966,1246908373.75203
1967,1246480958.52495
1968,1309384830.18783
1969,1245234806.88997
1970,1297407828.6025
1971,1339548823.65225
1972,1620857277.17917
1973,1863398448.33218
1974,2099324949.86596
1975,2830388404.8977
1976,2869777812.39211
1977,2938046307.24476
1978,3280354339.37247
1979,4084878667.84567
1980,4510107330.09718
1981,4095892072.13739
1982,4013950868.56217
1983,3569356462.13517
1984,3485165160.52964
1985,3818944603.04988
1986,5392093507.79181
1987,6487352282.55061
1988,6418419798.07163
1989,6366039352.58111
1990,7390967034.66625
1991,7255210700.97896
1992,7769817869.31065
1993,7367985694.79161
1994,5034588159.28612
1995,6326342962.93447
1996,6559712550.65952
1997,6041478436.08043
1998,6505607633.36937
1999,6592835457.6876
2000,6013184809.23898
2001,6507824767.06303
2002,7006402592.45463
2003,8768721956.33228
2004,10076817278.1025
2005,11009032665.3876
2006,11697918802.7922
2007,13994218939.2431
2008,16853991176.9058
2009,16145868284.5645
2010,16121314670.9653
2011,17814284622.1718
2012,17660871725.9977
2013,18918668644.1941
2014,19797254643.1212
2015,17774766636.0459
2016,19040312815.1337
2017,20996564751.5994
2018,23116897847.0474
2019,23398811423.578
2020,24493157583.2282
2021,27625388352.1688
