,Seychelles
1960,12012012.012012
1961,11592011.5920116
1962,12642026.5718964
1963,13923029.2643975
1964,15393032.3541529
1965,15603032.7955465
1966,16443034.5611211
1967,16632032.8140183
1968,16074027.3496039
1969,16452027.9927637
1970,18432031.3616959
1971,21965951.7213048
1972,30645121.0129499
1973,36896278.2235629
1974,43134498.6929657
1975,47803145.9560303
1976,49278979.5471457
1977,64526398.6585361
1978,85552369.914184
1979,127261099.24396
1980,147357222.779802
1981,154902869.02139
1982,147912069.76575
1983,146712850.509248
1984,151313241.982492
1985,168887539.130818
1986,207850623.637094
1987,249267039.782675
1988,283828769.029925
1989,304832867.393246
1990,368584758.942457
1991,374359556.084926
1992,433667193.814795
1993,473916819.453826
1994,486451204.557142
1995,508221508.221508
1996,503068472.20266
1997,562958836.519905
1998,608369282.225727
1999,622985493.682733
2000,614879764.780006
2001,622262057.191635
2002,697518248.175182
2003,705704816.042365
2004,839319927.272727
2005,919103254.545455
2006,1016418229.25159
2007,1033561654.0568
2008,967199593.960157
2009,847397850.094417
2010,969940010.248546
2011,1065823923.13596
2012,1059496470.21959
2013,1328089686.37137
2014,1387577763.19196
2015,1415998663.05391
2016,1490226453.95653
2017,1573428277.12074
2018,1636310049.39694
2019,1684228528.67297
2020,1200634489.34841
2021,1320053793.03903
