,Slovak Republic
1990,12747380650.0762
1991,14272201755.4704
1992,15495514296.8042
1993,16520676973.5301
1994,20162936291.375
1995,25840146405.2288
1996,27925036755.3866
1997,27706028095.6157
1998,29856000671.216
1999,30463670123.5931
2000,29242558796.5507
2001,30778781606.9575
2002,35297794385.6863
2003,46919965224.1497
2004,57437444469.087
2005,62808723476.719
2006,70767338922.4411
2007,86563986799.2505
2008,100879902984.983
2009,89399303222.155
2010,90801178162.2502
2011,99492917848.5897
2012,94253181330.3891
2013,98569320342.5842
2014,101089178418.029
2015,88636928904.6449
2016,89674927723.2422
2017,95393515077.7472
2018,105612792516.582
2019,105284375640.698
2020,105172564491.569
2021,114870706410.165
