,Sri Lanka
1960,1409873949.57983
1961,1444327731.09244
1962,1434156378.60082
1963,1240672268.90756
1964,1309747899.15966
1965,1698319327.73109
1966,1751470588.23529
1967,1859465020.57613
1968,1801344537.81513
1969,1965546218.48739
1970,2296470588.23529
1971,2369308600.33727
1972,2553936348.40871
1973,2875625000.0
1974,3574586466.16541
1975,3791298145.50642
1976,3591319857.31272
1977,4104509582.86359
1978,2733183856.50224
1979,3364611432.24149
1980,4024621899.57653
1981,4415844155.84416
1982,4768765016.81884
1983,5167913302.16745
1984,6043474842.76729
1985,5978460972.01767
1986,6405210563.88294
1987,6682167119.56522
1988,6978371581.26375
1989,6987267683.77254
1990,8032551173.24014
1991,9000362581.58086
1992,9703011635.86585
1993,10338679635.7616
1994,11717604208.8223
1995,13029697560.9756
1996,13897738375.2488
1997,15091913883.7091
1998,15794972847.1683
1999,15656327859.5696
2000,16330814179.9766
2001,15749753804.8344
2002,16536535647.0834
2003,18881765437.2151
2004,20662525941.2985
2005,24405791044.7761
2006,28279814924.5918
2007,32350248410.8216
2008,40713812309.7316
2009,42066217871.5349
2010,56725749221.9043
2011,65292753005.4665
2012,68434409315.1123
2013,74317806538.3632
2014,79356449840.5771
2015,80604080688.5775
2016,82401038709.5356
2017,87428128123.7209
2018,87963042340.7745
2019,83902574442.8014
2020,80969683537.4541
2021,84518830392.6157
