,Sudan
1960,1307333333.33333
1961,1419333333.33333
1962,1541666666.66667
1963,1568333333.33333
1964,1611333333.33333
1965,1679333333.33333
1966,1723000000.0
1967,1865666666.66667
1968,1947333333.33333
1969,2144333333.33333
1970,2437666666.66667
1971,2656000000.0
1972,2882000000.0
1973,3571666666.66667
1974,4595000000.0
1975,5598000000.0
1976,6979333333.33333
1977,8704000000.0
1978,7670500000.0
1979,9032250000.0
1980,8951800000.0
1981,10016500000.0
1982,8316000000.0
1983,8230153846.15385
1984,10447615384.6154
1985,8089391304.34783
1986,10092200000.0
1987,12093333333.3333
1988,14372555555.5556
1989,21408111111.1111
1990,33641222222.2222
1991,43891285714.2857
1992,7034219712.52567
1993,8881785938.48085
1994,12794192334.2541
1995,13829744878.6366
1996,9018243044.45155
1997,11681494637.3041
1998,11250327988.0478
1999,10682045258.3647
2000,12257418326.0734
2001,15716489369.9266
2002,18136839087.0077
2003,21355576672.542
2004,26645490675.0417
2005,35182105414.3919
2006,45264519502.6479
2007,59440139774.8128
2008,64831935604.2484
2009,58316191440.365
2010,74151186600.1735
2011,78403418360.459
2012,63195499524.2094
2013,66026600235.4524
2014,76818327441.6497
2015,84985132167.2171
2016,102943741648.824
2017,129717804934.614
2018,32333780383.2924
2019,32338079165.2893
2020,26987563444.1489
2021,34326058557.4359
