,Tajikistan
1990,2631768953.06859
1991,1352000000.0
1992,2156666666.66667
1993,1644325581.39535
1994,1518796992.4812
1995,1231040564.3739
1996,1043654822.33503
1997,921572114.529611
1998,1320242080.86531
1999,1086605267.40992
2000,860521119.298753
2001,1080768906.5003
2002,1221120798.81336
2003,1555301496.04756
2004,2076182460.86517
2005,2312327536.41789
2006,2830220713.07301
2007,3719506172.83951
2008,5161337336.40365
2009,4979481980.35098
2010,5642178579.58438
2011,6522732202.50748
2012,7633049792.09321
2013,8448469837.53831
2014,9112544556.05962
2015,8271454300.59548
2016,6992393787.40891
2017,7536439875.08334
2018,7765014424.33779
2019,8300784856.87904
2020,8133996647.90397
2021,8746270636.40142
