,Tanzania
1988,5100405772.46327
1989,4420168102.39306
1990,4258743262.82876
1991,4956588278.56144
1992,4601413263.52894
1993,4257702196.53864
1994,4510846967.8742
1995,5255221424.80962
1996,6496195450.61034
1997,7683852496.84499
1998,12270448700.1994
1999,12711213451.034
2000,13375976353.6994
2001,13581644245.7352
2002,14142035080.2849
2003,15224257698.482
2004,16675948414.7573
2005,18399046025.2688
2006,18649590248.2626
2007,21843529024.9154
2008,27941177434.5087
2009,29081425282.2949
2010,32014249841.4151
2011,34657139495.4031
2012,39650530214.3287
2013,45680532613.7591
2014,49964788814.0926
2015,47378599025.3044
2016,49774021003.0748
2017,53320625958.5628
2018,57003713610.7625
2019,61136873692.3985
2020,62409709110.9538
2021,67775101794.3478
