,Thailand
1960,2760747471.88624
1961,3034043574.06071
1962,3308912796.93487
1963,3540403456.55305
1964,3889129942.30769
1965,4388937649.03846
1966,5279230817.30769
1967,5638461442.30769
1968,6081009427.88461
1969,6695336567.30769
1970,7086538437.5
1971,7375000024.03846
1972,8177884552.88461
1973,10838587357.7466
1974,13703000530.0587
1975,14882747955.0328
1976,16985211146.0238
1977,19779315170.0237
1978,24006570178.1561
1979,27371699082.7126
1980,32353440726.8856
1981,34846107862.3673
1982,36589797857.4006
1983,40042826244.2337
1984,41797592963.4424
1985,38900692712.1496
1986,43096746122.4614
1987,50535438696.4094
1988,61667199834.7428
1989,72250877410.3183
1990,85343063965.9182
1991,98234695722.0341
1992,111452869378.467
1993,128889318946.587
1994,146683499005.964
1995,169278753531.98
1996,183035114648.4
1997,150180619366.605
1998,113675561057.462
1999,126669064386.717
2000,126392233706.79
2001,120296476180.402
2002,134300851255.002
2003,152280677649.055
2004,172895749632.046
2005,189318549680.384
2006,221758196504.936
2007,262942476722.425
2008,291382991177.698
2009,281710416557.292
2010,341104820155.464
2011,370819140946.553
2012,397558222957.17
2013,420333203150.426
2014,407339454060.678
2015,401296437424.995
2016,413366150655.591
2017,456356961443.497
2018,506754616189.315
2019,544081056184.697
2020,499681757030.968
2021,505981655622.305
