,Trinidad and Tobago
1960,535670127.748935
1961,584961208.656595
1962,619319197.340022
1963,678235373.038558
1964,711893367.55527
1965,736568861.926151
1966,723735635.536371
1967,761981474.023359
1968,758899950.0
1969,779200000.0
1970,821850000.0
1971,896754316.674262
1972,1083381044.08473
1973,1308799458.96284
1974,2042031901.42217
1975,2442667573.04821
1976,2500410583.79177
1977,3138666666.66667
1978,3562333458.33333
1979,4602416625.0
1980,6235833333.33333
1981,6992083333.33333
1982,8140416666.66667
1983,7763750000.0
1984,7757083333.33333
1985,7375918367.34694
1986,4794444444.44444
1987,4797777777.77778
1988,4496852073.46896
1989,4323058823.52941
1990,5068000000.0
1991,5307905882.35294
1992,5439552941.17647
1993,4669488516.37981
1994,4947205860.01451
1995,5329214163.22001
1996,5759537726.26601
1997,5737751331.63779
1998,6043694330.21609
1999,6808982520.75759
2000,8154338232.95978
2001,8824873259.32105
2002,9008273720.93395
2003,11305459802.0683
2004,13280275123.0354
2005,15982282462.3786
2006,18369361094.3886
2007,21641620049.9352
2008,27871587349.5413
2009,19172165225.5015
2010,22157948396.2042
2011,25433011405.3017
2012,25781712702.8567
2013,27294453245.3822
2014,27642525749.3456
2015,25191551350.4204
2016,22373566809.8206
2017,23180107751.9208
2018,23820742956.9744
2019,23886216403.3455
2020,21392536137.7724
2021,21391802311.0118
