,Uganda
1960,423008385.744235
1961,441524109.014675
1962,449012578.616352
1963,516147798.742138
1964,589056603.773585
1965,884873949.579832
1966,925770308.123249
1967,967647058.823529
1968,1037815126.05042
1969,1169047619.04762
1970,1260084033.61345
1971,1417787114.84594
1972,1491596638.65546
1973,1702521008.40336
1974,2100142653.35235
1975,2359555555.55556
1976,2447300000.0
1977,2936470588.23529
1978,2420260869.56522
1979,2139025000.0
1980,1244610000.0
1981,1337300000.0
1982,2177500000.0
1983,2240333333.33333
1984,3615647477.05434
1985,3519666338.52454
1986,3923232122.12784
1987,6269511614.66235
1988,6508931651.66667
1989,5276480985.99937
1990,4304398865.88268
1991,3321729057.12215
1992,2857457860.05088
1993,3220439044.18949
1994,3990430446.71216
1995,5755818947.42125
1996,6044585326.938
1997,6269333313.17108
1998,6584815846.52754
1999,5998563257.94659
2000,6193246837.09687
2001,5840503868.57246
2002,6178563590.89254
2003,6606884390.78019
2004,7939487473.86318
2005,9239221858.55839
2006,9977647644.69953
2007,11902564401.3238
2008,14440404021.4881
2009,25127805566.4511
2010,26673441667.2815
2011,27871725205.5714
2012,27305915761.2918
2013,28915786996.5518
2014,32612397758.4579
2015,32387183844.6699
2016,29203988814.8973
2017,30744473911.5312
2018,32927025573.4296
2019,35353060634.2022
2020,37600368180.9399
2021,40434701516.9528
