,United States
1960,543300000000.0
1961,563300000000.0
1962,605100000000.0
1963,638600000000.0
1964,685800000000.0
1965,743700000000.0
1966,815000000000.0
1967,861700000000.0
1968,942500000000.0
1969,1019900000000.0
1970,1073303000000.0
1971,1164850000000.0
1972,1279110000000.0
1973,1425376000000.0
1974,1545243000000.0
1975,1684904000000.0
1976,1873412000000.0
1977,2081826000000.0
1978,2351599000000.0
1979,2627333000000.0
1980,2857307000000.0
1981,3207041000000.0
1982,3343789000000.0
1983,3634038000000.0
1984,4037613000000.0
1985,4338979000000.0
1986,4579631000000.0
1987,4855215000000.0
1988,5236438000000.0
1989,5641580000000.0
1990,5963144000000.0
1991,6158129000000.0
1992,6520327000000.0
1993,6858559000000.0
1994,7287236000000.0
1995,7639749000000.0
1996,8073122000000.0
1997,8577554457000.0
1998,9062818202000.0
1999,9631174489000.0
2000,10250947997000.0
2001,10581929774000.0
2002,10929112955000.0
2003,11456442041000.0
2004,12217193198000.0
2005,13039199193000.0
2006,13815586948000.0
2007,14474226905000.0
2008,14769857911000.0
2009,14478064934000.0
2010,15048964444000.0
2011,15599728123000.0
2012,16253972230000.0
2013,16843190993000.0
2014,17550680174000.0
2015,18206020741000.0
2016,18695110842000.0
2017,19479620056000.0
2018,20527156026000.0
2019,21372572437000.0
2020,20893743833000.0
2021,22996100000000.0
