,Upper middle income
1960,241948449207.699
1961,218362745027.326
1962,223961235963.475
1963,234968339788.623
1964,269647164409.697
1965,301236909440.404
1966,332801421964.649
1967,334847960697.427
1968,349437468512.26
1969,391660303662.384
1970,428734267452.066
1971,466373301386.013
1972,530311981867.311
1973,689648714984.637
1974,855038706588.042
1975,941820818645.503
1976,991935593410.093
1977,1096863296880.74
1978,1175615200287.41
1979,1426840532792.59
1980,1658121220336.98
1981,1792589295010.32
1982,1711734146525.53
1983,1626150223477.13
1984,1674645869127.31
1985,1713515387052.01
1986,1734391218163.36
1987,1850906637965.08
1988,2052570243441.8
1989,2170719317577.33
1990,2573703086239.25
1991,2494732645394.07
1992,2601159805833.62
1993,2837087918201.46
1994,3144198059574.11
1995,3538058374020.06
1996,3849965543025.61
1997,4124018111571.83
1998,4064721059163.19
1999,3840835097376.18
2000,4246598004262.98
2001,4267340372422.71
2002,4297660066881.68
2003,4811514508666.84
2004,5767143940868.18
2005,6930577873122.27
2006,8233876634523.21
2007,10200967849616.1
2008,12443298546939.5
2009,11982942166693.1
2010,14603970894457.1
2011,17647374231249.2
2012,18914948953514.4
2013,20306810324023.2
2014,20939111685875.5
2015,19662803577428.6
2016,19548995942062.0
2017,21643735891993.6
2018,23303518315441.7
2019,23686292124212.1
2020,22848294411119.4
2021,27104280387250.6
