,Uruguay
1960,1242289239.20493
1961,1547388781.43133
1962,1710004407.22785
1963,1539681490.78174
1964,1975701816.46615
1965,1890769326.14221
1966,1809183974.52669
1967,1597721080.00991
1968,1593675330.16467
1969,2004435483.87097
1970,2137096774.19355
1971,2807258064.51613
1972,2189418001.37898
1973,3964295672.52444
1974,4090209681.97172
1975,3538283322.07726
1976,3667161241.48372
1977,4114667062.64917
1978,4910257282.93153
1979,7181185277.98651
1980,10163020115.7344
1981,11048335541.4933
1982,9178802162.6616
1983,5102281255.99986
1984,4850241442.17643
1985,4732017873.38369
1986,5880112788.40947
1987,7367494080.40014
1988,8213515458.51139
1989,8438951476.06644
1990,9298839655.23138
1991,11205971155.2758
1992,12878199880.9839
1993,15002106518.4847
1994,17474647792.3829
1995,19297663096.5506
1996,20515543039.2132
1997,23969823010.4429
1998,25385928188.7719
1999,23983945190.6202
2000,22823255801.8447
2001,20898788416.6348
2002,13606494599.4261
2003,12045631092.5353
2004,13686329890.1191
2005,17362857683.8545
2006,19579457966.0538
2007,23410572634.3147
2008,30366213119.2928
2009,31660911277.0294
2010,40284481651.9021
2011,47962439303.7247
2012,51264390116.4909
2013,57531233350.9101
2014,57236013086.1223
2015,53274304222.136
2016,57236652490.1699
2017,64233966861.2518
2018,64515038268.1373
2019,61231149880.5857
2020,53560755046.5726
2021,59319547636.0876
