,Vanuatu
1979,119258835.335525
1980,121185497.569261
1981,113781795.82356
1982,114501912.522867
1983,117389554.191406
1984,144482515.368336
1985,131856420.703184
1986,126498935.335649
1987,139464173.547324
1988,158351368.433149
1989,154013202.116475
1990,168879207.244148
1991,201334169.054441
1992,209088824.608438
1993,200491853.167847
1994,233701301.490486
1995,249333250.082507
1996,261370044.486614
1997,272771209.113662
1998,262293410.708334
1999,268006972.690296
2000,272014693.050806
2001,257926881.72043
2002,262596597.803278
2003,314471328.071548
2004,364996869.129618
2005,394962552.336108
2006,439376794.094041
2007,516392922.513728
2008,590748237.021657
2009,592622502.360859
2010,670713208.084552
2011,770153304.153832
2012,747839697.746593
2013,758304466.245339
2014,772315721.265827
2015,730870581.672312
2016,780889605.899977
2017,880062103.045053
2018,914736985.430944
2019,936526267.622513
2020,896827873.114925
2021,983469256.849629
