,"Venezuela, RB"
1960,7779090909.09091
1961,8189090909.09091
1962,8946969696.9697
1963,9753333333.33333
1964,8099318181.81818
1965,8427777777.77778
1966,8781333333.33333
1967,9250000000.0
1968,10034444444.4444
1969,10285111111.1111
1970,11561111111.1111
1971,12986590909.0909
1972,13977727272.7273
1973,17035581395.3488
1974,26100930232.5581
1975,27464651162.7907
1976,31419534883.7209
1977,36210697674.4186
1978,39316279069.7674
1979,48310930232.5581
1980,59116511627.907
1981,66327441860.4651
1982,67736744186.0465
1983,67556279069.7674
1984,60010285714.2857
1985,61965466666.6667
1986,60391604938.2716
1987,48029034482.7586
1988,60226413793.1034
1989,43526253602.3055
1990,48598315565.032
1991,53476971830.9859
1992,60401798245.614
1993,60065011013.2159
1994,58418666666.6667
1995,77407726244.3439
1996,70543211119.099
1997,85843534588.6206
1998,91331203433.1629
1999,97976886247.3172
2000,117140723529.412
2001,122903960204.505
2002,92893587733.6549
2003,83620628582.1082
2004,112453382329.615
2005,145510008134.75
2006,183477522123.894
2007,230364012575.687
2008,315953388510.678
2009,329787628928.471
2010,393192354510.653
2011,316482190800.364
2012,381286237847.667
2013,371005379786.566
2014,482359318767.703
