,Vietnam
1985,14094687820.7445
1986,26336616250.4397
1987,36658108850.3148
1988,25423812648.5941
1989,6293304974.59403
1990,6471740805.56984
1991,9613369520.41885
1992,9866990236.43587
1993,13180953598.1716
1994,16286433533.3228
1995,20736164458.9505
1996,24657470574.7501
1997,26843700441.5482
1998,27209602050.0452
1999,28683659006.7752
2000,31172518403.3162
2001,32685198735.3053
2002,35064105500.8344
2003,39552513316.0734
2004,45427854693.2554
2005,57633255618.2731
2006,66371664817.0436
2007,77414425532.2452
2008,99130304099.1274
2009,106014659770.222
2010,147198853578.923
2011,172595960457.831
2012,195592471672.748
2013,213710932339.105
2014,233449971628.523
2015,239257234710.757
2016,257095955975.529
2017,281353402175.236
2018,308702086757.617
2019,330391329475.734
2020,343242570827.351
2021,362637524070.969
