,West Bank and Gaza
1994,2843300000.0
1995,3282800000.0
1996,3409600000.0
1997,3759800000.0
1998,4067800000.0
1999,4271200000.0
2000,4313600000.0
2001,4003700000.0
2002,3555800000.0
2003,3968000000.0
2004,4603100000.0
2005,5125700000.0
2006,5348300000.0
2007,5815700000.0
2008,7310400000.0
2009,8085700000.0
2010,9681500000.0
2011,11186100000.0
2012,12208400000.0
2013,13515500000.0
2014,13989700000.0
2015,13972400000.0
2016,15405400000.0
2017,16128000000.0
2018,16276600000.0
2019,17133500000.0
2020,15531700000.0
2021,18036800000.0
