,"Yemen, Rep."
1990,5647119229.00763
1991,5930370370.37037
1992,6463649985.01648
1993,5368270614.8468
1994,4167356037.1517
1995,4258788725.44991
1996,5785685310.86668
1997,6838557384.40357
1998,6325141675.86989
1999,7641102523.15082
2000,9652436179.64605
2001,9861560094.74009
2002,10694628091.6726
2003,11777966673.3897
2004,13872791658.5487
2005,16746344766.2044
2006,19061978586.1278
2007,21650532264.2322
2008,26910851361.7555
2009,25130274124.2525
2010,30906749533.221
2011,32726417212.348
2012,35401341663.0425
2013,40415235701.9871
2014,43228585321.3272
2015,42444495590.1077
2016,31317828583.5859
2017,26842231204.8047
2018,21606161066.2074
2019,21887614217.1746
2020,18840511908.2484
2021,21061691629.5369
