,Zambia
1960,713000000.0
1961,696285714.285714
1962,693142857.142857
1963,718714285.714286
1964,839428571.428571
1965,1082857142.85714
1966,1264285714.28571
1967,1368000000.0
1968,1605857142.85714
1969,1965714285.71429
1970,1825285714.28571
1971,1687000000.0
1972,1910714285.71429
1973,2268714285.71429
1974,3121833333.33333
1975,2618666666.66667
1976,2746714285.71429
1977,2483000000.0
1978,2813375000.0
1979,3325500000.0
1980,3829500000.0
1981,3872666666.66667
1982,3994777777.77778
1983,3216307692.30769
1984,2739444444.44444
1985,2281258064.51613
1986,1661948717.94872
1987,2269894736.84211
1988,3713614457.83133
1989,3998637681.15942
1990,3285217391.30435
1991,3378882352.94118
1992,3181921787.7095
1993,3273237853.35689
1994,3656647744.24858
1995,3807067121.8609
1996,3597220962.00017
1997,4303281932.29365
1998,3537683046.02331
1999,3404311976.54941
2000,3600683039.73254
2001,4094480988.11931
2002,4193845678.17033
2003,4901839731.26571
2004,6221077674.77871
2005,8331870169.14977
2006,12756858899.2812
2007,14056957976.2648
2008,17910858637.9048
2009,15328342303.9575
2010,20265559483.8548
2011,23459515275.5776
2012,25503060420.026
2013,28037239462.7142
2014,27141023558.0829
2015,21251216798.7762
2016,20958412538.3093
2017,25873601260.8353
2018,26311590296.7021
2019,23308667781.2258
2020,18110631358.3114
2021,21203059080.3507
