Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,77.000000,77.000000,77.000000,77.000000,28.292978,0
2000-01-04,75.500000,77.000000,75.000000,77.000000,28.292978,0
2000-01-05,75.000000,78.000000,74.500000,75.500000,27.741819,0
2000-01-06,74.500000,75.000000,74.000000,75.000000,27.558098,0
2000-01-07,76.000000,76.000000,72.000000,73.500000,27.006933,38520
2000-01-10,72.000000,75.000000,72.000000,73.500000,27.006933,0
2000-01-11,72.000000,74.750000,72.000000,73.500000,27.006933,0
2000-01-12,71.000000,74.500000,70.000000,72.500000,26.639492,0
2000-01-13,70.000000,71.000000,70.000000,71.000000,26.088341,0
2000-01-14,68.000000,71.000000,68.000000,71.000000,26.088341,0
2000-01-17,67.500000,70.000000,67.000000,68.500000,25.169731,0
2000-01-18,67.000000,68.000000,65.000000,67.000000,24.618570,165972
2000-01-19,65.000000,67.750000,65.000000,66.500000,24.434851,0
2000-01-20,65.000000,68.000000,64.000000,65.500000,24.067406,0
2000-01-21,64.000000,66.500000,64.000000,65.500000,24.067406,0
2000-01-24,64.250000,67.000000,63.000000,65.000000,23.883690,0
2000-01-25,63.500000,64.500000,63.000000,64.000000,23.516243,0
2000-01-26,63.000000,65.000000,63.000000,64.000000,23.516243,123200
2000-01-27,62.500000,65.000000,62.500000,64.000000,23.516243,120041
2000-01-28,63.000000,65.000000,63.000000,64.000000,23.516243,0
2000-01-31,63.000000,65.000000,63.000000,64.000000,23.516243,0
2000-02-01,65.000000,65.000000,63.000000,64.000000,23.516243,0
2000-02-02,65.000000,65.000000,60.000000,64.000000,23.516243,0
2000-02-03,63.500000,64.500000,62.000000,63.500000,23.332523,207818
2000-02-04,62.000000,63.500000,62.000000,63.500000,23.332523,0
2000-02-07,62.500000,64.500000,62.000000,63.500000,23.332523,0
2000-02-08,65.000000,65.000000,62.000000,63.500000,23.332523,0
2000-02-09,61.000000,61.000000,58.000000,61.000000,22.413921,51417
2000-02-10,58.500000,62.500000,58.000000,60.000000,22.046482,0
2000-02-11,57.000000,57.500000,55.000000,56.500000,20.760435,0
2000-02-14,55.000000,58.000000,53.000000,56.500000,20.760435,0
2000-02-15,55.500000,57.500000,55.000000,56.500000,20.760435,0
2000-02-16,55.000000,58.000000,55.000000,56.500000,20.760435,0
2000-02-17,57.500000,58.000000,53.000000,56.500000,20.760435,0
2000-02-18,53.000000,57.000000,53.000000,55.000000,20.209272,0
2000-02-21,56.000000,57.000000,51.000000,55.000000,20.209272,0
