Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,39.937500,40.062500,38.937500,39.625000,24.545179,4520600
2000-01-04,39.312500,39.562500,38.375000,38.812500,24.041889,4216500
2000-01-05,38.812500,40.375000,38.812500,39.437500,24.429031,5231600
2000-01-06,39.125000,39.375000,38.687500,38.875000,24.080599,4809400
2000-01-07,39.000000,40.000000,38.875000,39.875000,24.700037,5124700
2000-01-10,40.000000,41.000000,39.750000,40.062500,24.816183,4113900
2000-01-11,40.125000,41.500000,40.125000,41.000000,25.396904,5440200
2000-01-12,40.937500,43.062500,40.625000,42.750000,26.480925,8090000
2000-01-13,42.687500,43.625000,41.875000,42.312500,26.209915,5700200
2000-01-14,42.812500,42.812500,41.875000,42.609299,26.393766,3365400
2000-01-18,42.375000,42.500000,41.187500,41.500000,25.706631,3401100
2000-01-19,41.000000,42.625000,41.000000,42.375000,26.248631,3344700
2000-01-20,42.562500,42.562500,41.000000,42.562500,26.364775,3309700
2000-01-21,41.625000,41.875000,40.437500,41.062500,25.435612,3722600
2000-01-24,41.250000,41.437500,39.500000,39.500000,24.467749,3593500
2000-01-25,39.750000,40.250000,39.187500,39.812500,24.661318,3304500
2000-01-26,39.625000,39.625000,34.687500,35.750000,22.144857,16703200
2000-01-27,36.000000,37.937500,35.875000,37.625000,23.306305,12082200
2000-01-28,37.125000,37.437500,36.375000,36.750000,22.764307,4444200
2000-01-31,37.250000,38.000000,37.125000,37.375000,23.151442,4838300
2000-02-01,37.437500,37.562500,36.500000,36.625000,22.686874,4679500
2000-02-02,36.625000,36.750000,35.375000,35.500000,21.990000,5769100
2000-02-03,35.562500,36.187500,34.437500,35.000000,21.680288,9225700
2000-02-04,35.875000,35.875000,34.625000,35.125000,21.757715,7752200
2000-02-07,35.250000,35.625000,34.000000,34.937500,21.641562,9992900
2000-02-08,36.000000,37.625000,35.500000,36.312500,22.493299,12144800
2000-02-09,36.687500,36.687500,35.375000,35.875000,22.222294,5915400
2000-02-10,35.500000,36.250000,35.125000,35.500000,21.990000,5353400
2000-02-11,35.062500,35.437500,34.812500,34.937500,21.641562,3920500
2000-02-14,35.312500,35.312500,33.312500,33.875000,20.983418,4426400
2000-02-15,33.750000,34.125000,33.437500,33.750000,20.905979,4669200
2000-02-16,33.750000,34.437500,33.250000,33.375000,20.673702,3804900
2000-02-17,33.562500,34.062500,33.375000,33.750000,20.905979,4272000
