,Afghanistan
1960,537777811.111111
1961,548888895.555556
1962,546666677.777778
1963,751111191.111111
1964,800000044.444444
1965,1006666637.77778
1966,1399999966.66667
1967,1673333417.77778
1968,1373333366.66667
1969,1408888922.22222
1970,1748886595.55556
1971,1831108971.11111
1972,1595555475.55556
1973,1733333264.44444
1974,2155555497.77778
1975,2366666615.55556
1976,2555555566.66667
1977,2953333417.77778
1978,3300000108.88889
1979,3697940409.61098
1980,3641723321.99546
1981,3478787909.09091
2002,4055179566.34981
2003,4515558808.10994
2004,5226778808.89209
2005,6209137624.77181
2006,6971285594.68013
2007,9747879531.86311
2008,10109305182.952
2009,12416161048.8412
2010,15856678596.148
2011,17805113118.8938
2012,19907317065.6666
2013,20146404996.223
2014,20497126770.1335
2015,19134211763.859
2016,18116562464.9088
2017,18753469630.2586
2018,18053228578.8878
2019,18799450742.7823
2020,20116137325.8206
