,Andorra
1970,78619206.0850963
1971,89409820.3592814
1972,113408231.944085
1973,150820102.798401
1974,186558696.279204
1975,220127246.376812
1976,227281024.620741
1977,254020153.340635
1978,308008897.569444
1979,411578334.159643
1980,446416105.825017
1981,388958731.302938
1982,375895956.383462
1983,327861832.946636
1984,330070689.298282
1985,346737964.774951
1986,482000594.03588
1987,611316399.407088
1988,721425939.15155
1989,795449332.396346
1990,1029048481.88051
1991,1106928582.86629
1992,1210013651.87713
1993,1007025755.00065
1994,1017549124.33238
1995,1178738991.19295
1996,1223945356.62682
1997,1180597272.72727
1998,1211932397.81713
1999,1239876305.13531
2000,1429049198.45218
2001,1546926174.49664
2002,1755910031.99699
2003,2361726862.30248
2004,2894921777.99851
2005,3159905484.39249
2006,3456442102.622
2007,3952600602.24473
2008,4085630584.44412
2009,3674409558.21061
2010,3449925738.86069
2011,3629133574.27783
2012,3188652765.36184
2013,3193512950.02419
2014,3271685596.66321
2015,2789881258.50362
2016,2896610479.73077
2017,3000162081.11976
2018,3218419896.9641
2019,3155149347.80639
2020,2891001149.3611
2021,3329910723.76078
