,Angola
1980,5930503400.96263
1981,5550483035.96497
1982,5550483035.96497
1983,5784341596.36339
1984,6131475065.17815
1985,7553560459.2246
1986,7072063345.58823
1987,8083872012.36631
1988,8769250549.79947
1989,10201099039.4385
1990,11228764963.2353
1991,10603784541.197
1992,8307810973.58848
1993,5768720421.61367
1994,4438321017.39068
1995,5538749259.94714
1996,7526446605.51712
1997,7648377412.83277
1998,6506229607.29432
1999,6152922942.98032
2000,9129594818.60749
2001,8936063723.20121
2002,15285594828.418
2003,17812704825.1957
2004,23552047248.4301
2005,36970918699.2523
2006,52381006892.038
2007,65266452081.386
2008,88538610805.3214
2009,70307166934.3311
2010,81699556136.6643
2011,109436531427.069
2012,124998158417.861
2013,133401594460.922
2014,137244418012.553
2015,87219290028.7263
2016,49840494025.5166
2017,68972763787.1547
2018,77792940077.1193
2019,69309104806.6311
2020,53619071176.139
2021,72546985708.5707
