,Arab World
1968,35019874408.0534
1969,38163151812.5519
1970,43150006547.2429
1971,49841693162.6334
1972,59381535706.6929
1973,75330107157.2533
1974,142816295352.383
1975,157909834833.927
1976,196559705955.664
1977,226978701921.543
1978,249111411230.949
1979,338626141970.263
1980,459811278765.036
1981,474025484143.079
1982,444131734919.487
1983,418463618520.435
1984,425900123069.24
1985,419501104252.227
1986,406985865609.839
1987,440608259911.811
1988,424902039234.107
1989,455824612499.578
1990,644068929938.218
1991,471525976315.048
1992,473815259253.755
1993,482768507761.567
1994,507770217342.65
1995,556060151754.297
1996,614196023699.779
1997,662320286110.823
1998,644497080358.707
1999,712838954000.87
2000,816022345748.31
2001,798508872207.506
2002,803126104894.899
2003,887856220506.332
2004,1056250800483.71
2005,1297897997606.52
2006,1538296658886.73
2007,1790043618080.77
2008,2253740516075.54
2009,1978805212789.63
2010,2327010098167.46
2011,2547958055744.58
2012,2778076501107.13
2013,2834607141427.39
2014,2876010443891.52
2015,2518700620586.27
2016,2495864756764.43
2017,2584096654452.22
2018,2785878075917.03
2019,2808099764578.03
2020,2496251185652.42
2021,2850421035169.38
