,Australia
1960,18606786874.23
1961,19683055213.3498
1962,19922723709.262
1963,21539926083.548
1964,23801097547.3177
1965,25977153096.6514
1966,27309889125.322
1967,30444618658.3044
1968,32716989584.4999
1969,36686079068.2047
1970,41337215813.6409
1971,45222309329.1522
1972,52051401869.1589
1973,63844971172.3254
1974,88981577008.1061
1975,97333060221.2208
1976,105101474851.885
1977,110387703601.744
1978,118535980148.883
1979,134941497216.858
1980,150032311977.716
1981,176953442470.684
1982,194104601125.455
1983,177333645297.146
1984,193593551892.773
1985,180573751629.976
1986,182368494683.828
1987,189400476442.562
1988,236065919674.04
1989,299767934207.312
1990,311326664101.578
1991,325902990346.127
1992,325480273782.973
1993,312126194491.287
1994,322807333102.733
1995,367915800415.8
1996,401089529590.288
1997,435323994365.315
1998,399404463135.047
1999,389098884572.001
2000,415576210513.094
2001,379083932596.329
2002,395342716617.832
2003,467390797903.32
2004,614166310997.297
2005,695075176665.163
2006,747556154537.287
2007,853955405511.502
2008,1055127126230.98
2009,928042998085.702
2010,1147589183475.73
2011,1397907916789.9
2012,1546508558465.66
2013,1576335282651.07
2014,1467504819608.92
2015,1350534154255.76
2016,1206685107002.47
2017,1326882872011.46
2018,1428529571351.06
2019,1391952510370.48
2020,1327836171068.51
2021,1542659899992.54
