,Bahrain
1980,3072698328.46909
1981,3467819148.93617
1982,3645744680.85106
1983,3735106382.97872
1984,3905585106.38298
1985,3651861702.12766
1986,3052393617.02128
1987,3392021010.6383
1988,3702393617.02128
1989,3863563829.78723
1990,4229787234.04255
1991,4616223404.25532
1992,4751063829.78723
1993,5200265957.44681
1994,5567553457.44681
1995,5849467819.14894
1996,6101861436.17021
1997,6349202393.61702
1998,6183776595.74468
1999,6621010372.34043
2000,9062898936.17021
2001,8976196808.51064
2002,9593510638.29787
2003,11074813829.7872
2004,13150159574.4681
2005,15968723404.2553
2006,18504760638.2979
2007,21730000000.0
2008,25710904255.3191
2009,22938218085.1064
2010,25713271276.5957
2011,28776595744.6809
2012,30749308510.6383
2013,32539468085.1064
2014,33387712765.9574
2015,31050638297.8723
2016,32234973404.2553
2017,35473776595.7447
2018,37802005319.1489
2019,38653318085.1064
2020,34723357446.8085
2021,38868663031.9149
