,Bangladesh
1960,4274893913.49536
1961,4817580183.60155
1962,5081413339.78635
1963,5319458351.16235
1964,5386054619.34987
1965,5906636557.00092
1966,6439687598.32325
1967,7253575399.3215
1968,7483685473.51275
1969,8471006100.95399
1970,8992721809.39332
1971,8751842839.79658
1972,6288245866.66667
1973,8086725729.3407
1974,12512460519.7088
1975,19448348073.4565
1976,10117113333.3333
1977,9651149301.8746
1978,13281767142.8571
1979,15565480321.9448
1980,18138049095.6072
1981,20249694002.448
1982,18525399201.5968
1983,17609048821.5488
1984,18920840000.0
1985,22278423076.9231
1986,21774033333.3333
1987,24298032258.0645
1988,26579005760.2634
1989,28781714763.8909
1990,31598341233.463
1991,30957483949.5798
1992,31708874594.1645
1993,33166519417.9894
1994,33768660882.793
1995,37939748768.6567
1996,46438484107.5795
1997,48244309133.4895
1998,49984559471.3656
1999,51270569883.5275
2000,53369787318.6245
2001,53991289844.3291
2002,54724081490.5102
2003,60158929188.2556
2004,65108544250.0425
2005,69442943089.4309
2006,71819083683.7403
2007,79611888213.148
2008,91631278239.3237
2009,102477791472.39
2010,115279077465.226
2011,128637938711.386
2012,133355749482.478
2013,149990451022.29
2014,172885454931.453
2015,195078678697.23
2016,265236247989.155
2017,293754646182.389
2018,321379023557.462
2019,351238438542.792
2020,373902134700.41
2021,416264942893.326
