,Belarus
1990,21650000000.0
1991,18000000000.0
1992,17037037037.037
1993,16280991735.5372
1994,14932024169.1843
1995,13972676840.918
1996,14756846153.8462
1997,14128408565.7064
1998,15222012660.4232
1999,12138486532.0203
2000,12736856827.9847
2001,12354820143.8849
2002,14594249022.8922
2003,17827791321.3067
2004,23144351851.8519
2005,30207567316.6202
2006,36954312354.3124
2007,45277399813.6067
2008,60763483146.0674
2009,50874078052.2735
2010,57222490768.7143
2011,61757788944.7236
2012,65685102554.8759
2013,75527984234.2342
2014,78813839984.3506
2015,56454734396.5842
2016,47722657820.6675
2017,54726595249.1849
2018,60031262269.3365
2019,64409647193.8044
2020,61489588894.8211
2021,68218816484.1226
