,Belgium
1960,11658722590.99
1961,12400145221.595
1962,13264015675.3193
1963,14260017387.0492
1964,15960106680.6732
1965,17371457607.9374
1966,18651883472.4808
1967,19992040788.4593
1968,21376353113.475
1969,23710735894.7022
1970,26706196046.7931
1971,29821661869.912
1972,37209418018.5134
1973,47743801490.3747
1974,56033077879.0389
1975,65678189097.2908
1976,71113882967.6071
1977,82839905458.6382
1978,101246526194.441
1979,116315456796.918
1980,126829314388.191
1981,104730018470.23
1982,92095926187.5331
1983,87184239053.2544
1984,83349530159.1734
1985,86268264148.3796
1986,120018787249.413
1987,149394404105.889
1988,162299103675.261
1989,164221056511.057
1990,205331747947.851
1991,210510999409.333
1992,234781652446.675
1993,224721795708.955
1994,244884129491.198
1995,288025588396.278
1996,279201433224.756
1997,252708051420.839
1998,258528339631.029
1999,258245733221.468
2000,236792460312.471
2001,236746141604.37
2002,258383599375.177
2003,318082528506.588
2004,369214712443.206
2005,385714762230.039
2006,408259840868.823
2007,470922156309.453
2008,517328087920.078
2009,483254171097.812
2010,481420882905.001
2011,523330354138.133
2012,496152879924.727
2013,521791015247.06
2014,535390200131.018
2015,462335574841.484
2016,476062757356.927
2017,502764720556.354
2018,543347368038.353
2019,535376258146.666
2020,521676942134.632
2021,599879025377.51
