,Benin
1960,226195579.35701
1961,235668222.429984
1962,236434906.75427
1963,253927646.475909
1964,269818988.259263
1965,289908720.648622
1966,302925280.773564
1967,306222000.407316
1968,326323097.355964
1969,330748211.459737
1970,333627758.154666
1971,335072975.215766
1972,410331900.950531
1973,504376035.716401
1974,554654786.965107
1975,676870140.341529
1976,698408244.385343
1977,750049739.152238
1978,928843304.783965
1979,1186231265.18417
1980,1405251547.23882
1981,1291119965.11262
1982,1267778489.03079
1983,1095348302.91865
1984,1051133927.00009
1985,1045712703.02696
1986,1336102040.71025
1987,1562412030.34838
1988,1620246187.15171
1989,1502294411.46202
1990,1959965243.76269
1991,1986437859.90346
1992,1695315305.70308
1993,2274557914.07481
1994,1598075932.35432
1995,2169627250.93379
1996,2361116587.86079
1997,2268301537.65128
1998,2455092582.30927
1999,3677394291.51516
2000,3519991326.48464
2001,3666222600.09828
2002,4194342849.46574
2003,5349258334.31914
2004,6190270756.13743
2005,6567654493.50831
2006,7034111651.4964
2007,8169048690.05254
2008,9787735426.00897
2009,9738626993.27696
2010,9535344283.47295
2011,10693321953.6355
2012,11141358945.1349
2013,12517845732.2095
2014,13284528654.0574
2015,11388160958.249
2016,11821066152.5979
2017,12701654743.2149
2018,14262407011.4764
2019,14391686632.7821
2020,15651545331.5404
2021,17785640079.1191
