,Cabo Verde
1980,142246875.536716
1981,139468114.599741
1982,140630758.594899
1983,138476239.366792
1984,132019065.033419
1985,137728155.212661
1986,190651207.999511
1987,235253171.841062
1988,264308140.285149
1989,267448513.108168
1990,306891107.262039
1991,319827058.592875
1992,357160985.327413
1993,490417389.682569
1994,406580652.330537
1995,487148993.533109
1996,501979069.274683
1997,490608657.924976
1998,521910560.524868
1999,592416703.058878
2000,539227277.626411
2001,563024383.296626
2002,620974660.230303
2003,813963830.179217
2004,924318490.7598
2005,971977088.156914
2006,1107891063.43863
2007,1513933983.22398
2008,1789333748.6799
2009,1711817181.52969
2010,1664310769.55229
2011,1865915544.12445
2012,1741809808.96442
2013,1850470042.43281
2014,1859898513.26858
2015,1596800287.16405
2016,1663008687.09505
2017,1769787215.42141
2018,1966501117.61028
2019,1981845740.70615
2020,1703698676.69742
2021,1936174043.45293
