,Cambodia
1960,637142865.714286
1961,642857134.285714
1962,660000008.571429
1963,728571437.142857
1964,782857128.571429
1965,868571428.571429
1966,914285714.285714
1967,962857134.285714
1968,1065714248.57143
1969,978873232.394366
1970,718401157.724163
1971,969911421.39418
1972,505549441.375077
1973,702899155.982033
1974,588443893.689773
1993,2533727592.04165
1994,2791435272.26653
1995,3441205692.9166
1996,3506695719.57259
1997,3443413388.6909
1998,3120425502.58253
1999,3517242477.2285
2000,3654031716.26881
2001,3984000517.02345
2002,4284028482.53766
2003,4658246918.27092
2004,5337833248.03924
2005,6293046161.83262
2006,7274595706.67154
2007,8639235842.18075
2008,10351914093.1723
2009,10401851850.6108
2010,11242275198.9783
2011,12829541141.0127
2012,14054443213.4639
2013,15227991395.2201
2014,16702610842.4025
2015,18049954289.4229
2016,20016747754.0192
2017,22177200511.5811
2018,24571753583.4922
2019,27089389786.979
2020,25872798012.1938
2021,26961061119.7957
