,Canada
1960,40461721692.6468
1961,40934952063.9468
1962,42227447631.9159
1963,45029988561.2124
1964,49377522896.703
1965,54515179580.7148
1966,61088384036.6515
1967,65668655501.1254
1968,71829810519.8955
1969,79148411661.6902
1970,87896095320.1263
1971,99271961774.6088
1972,113082820486.918
1973,131321858814.119
1974,160408697341.513
1975,173834029689.343
1976,206575564908.722
1977,211612157028.679
1978,218632867537.477
1979,243072102612.259
1980,273853826548.067
1981,306214863624.99
1982,313506525087.136
1983,340547711781.889
1984,355372558103.621
1985,364756499450.751
1986,377437927311.983
1987,431316742081.448
1988,507354351182.254
1989,565055743243.243
1990,593929550908.468
1991,610328183643.188
1992,592387689252.916
1993,577170761956.438
1994,578139279437.61
1995,604031623433.401
1996,628546387972.131
1997,654986999855.554
1998,634000000000.0
1999,678412196271.118
2000,744773415931.587
2001,738981792355.372
2002,760649334098.005
2003,895540646634.787
2004,1026690238278.25
2005,1173108598778.68
2006,1319264809590.97
2007,1468820407783.26
2008,1552989690721.65
2009,1374625142157.29
2010,1617343367486.26
2011,1793326630174.52
2012,1828366481521.6
2013,1846597421834.98
2014,1805749878439.94
2015,1556508816217.14
2016,1527994741907.43
2017,1649265644244.09
2018,1725329192783.02
2019,1742015045482.31
2020,1645423407568.36
2021,1990761609665.23
