,Caribbean small states
1960,1880306125.08675
1961,2038301741.01721
1962,2153895647.51084
1963,2290313587.93533
1964,2470264539.67792
1965,2660946063.37404
1966,2888647977.98333
1967,3102515476.18752
1968,3083590686.77636
1969,3359706536.46451
1970,3695257613.12236
1971,4017606922.60213
1972,4639299319.33564
1973,5076285827.67105
1974,6595605182.85039
1975,7706760555.18393
1976,7932122920.87447
1977,9210482685.92608
1978,9433651129.16603
1979,10835423670.3095
1980,13495267729.8266
1981,14890317367.7414
1982,16517827316.8794
1983,16735576444.1241
1984,15982827316.9477
1985,15814747522.7357
1986,14441278727.635
1987,15521747479.8157
1988,16459864446.8519
1989,16872897190.6968
1990,18011678551.9381
1991,17878504938.8707
1992,17575413724.3223
1993,19033356757.926
1994,20014967686.7882
1995,22072783645.7067
1996,24081792638.7438
1997,28202808369.1372
1998,30129171334.4624
1999,31944649112.5
2000,34249904536.5491
2001,35284396505.6497
2002,37023706334.8597
2003,39580356455.4664
2004,43293805573.5935
2005,48957056297.0275
2006,55704431126.3899
2007,61916043830.0806
2008,70404981344.0782
2009,59480682376.416
2010,64592893103.947
2011,69730495217.7599
2012,72141071446.1207
2013,73521446002.3955
2014,74620404150.2578
2015,73535009881.6185
2016,69478366694.906
2017,72533236071.4207
2018,75431169087.5747
2019,77023818120.749
2020,65922853040.9271
2021,69970323144.2875
