,Chad
1960,313582729.426485
1961,333975338.83416
1962,357635713.871813
1963,371767002.650081
1964,392247517.600415
1965,416926302.959596
1966,432794922.455607
1967,449826322.997449
1968,453980096.648819
1969,471635620.926608
1970,469266736.599744
1971,501866730.713995
1972,585427545.729752
1973,647199482.837353
1974,652532796.060739
1975,864602103.307992
1976,866044961.037694
1977,935360466.338452
1978,1113920122.63186
1979,1004316495.12298
1980,1033002401.84844
1981,876937559.726006
1982,834369860.424753
1983,832415805.966375
1984,919103735.318714
1985,1033069709.99875
1986,1067828247.24964
1987,1163426850.65596
1988,1482597298.88419
1989,1433686309.82699
1990,1738605558.08241
1991,1877138041.64308
1992,1881847676.80752
1993,1463251055.40068
1994,1179837954.72193
1995,1445919969.89272
1996,1607345450.04578
1997,1544689502.82472
1998,1744794457.276
1999,1534673583.2487
2000,1388506726.62093
2001,1710843360.64955
2002,1997005786.54118
2003,2742815194.54993
2004,4422855929.21428
2005,6649307057.03314
2006,7428701809.40597
2007,8650138068.63161
2008,10393834720.852
2009,9290728773.35723
2010,10668102734.8132
2011,12172309522.6171
2012,12367363677.6199
2013,12953535495.8781
2014,13940768065.6063
2015,10950392219.9104
2016,10097778353.7651
2017,10000395242.1457
2018,11239167048.4916
2019,11314951342.7807
2020,10715396135.4168
2021,11779980801.7843
