,China
1960,59716467625.3148
1961,50056868957.6732
1962,47209359005.6057
1963,50706799902.5104
1964,59708343488.5043
1965,70436266146.7219
1966,76720285969.6157
1967,72881631326.6715
1968,70846535055.6503
1969,79705906247.4612
1970,92602973434.0726
1971,99800958648.1436
1972,113687586299.051
1973,138544284708.957
1974,144182133387.722
1975,163431551779.761
1976,153940455341.506
1977,174938098826.569
1978,149540752829.268
1979,178280594413.043
1980,191149211575.0
1981,195866382432.54
1982,205089699858.779
1983,230686747153.257
1984,259946510957.143
1985,309488028132.653
1986,300758100107.246
1987,272972974764.574
1988,312353631207.819
1989,347768051311.741
1990,360857912565.966
1991,383373318083.624
1992,426915712715.856
1993,444731282435.515
1994,564324670008.238
1995,734547898224.101
1996,863746717507.397
1997,961603952954.233
1998,1029043097558.91
1999,1093997267277.1
2000,1211346869600.41
2001,1339395718862.89
2002,1470550015077.93
2003,1660287965663.89
2004,1955347004965.69
2005,2285965892364.2
2006,2752131773358.92
2007,3550342737009.53
2008,4594307032667.98
2009,5101703073088.97
2010,6087163874510.73
2011,7551500124197.17
2012,8532229986993.65
2013,9570406235659.64
2014,10475682920597.7
2015,11061553079871.5
2016,11233276536744.7
2017,12310409370894.2
2018,13894817549380.3
2019,14279937500608.0
2020,14687673892882.0
2021,17734062645371.4
