,Colombia
1960,4031152976.63904
1961,4540447761.19403
1962,4955543963.36869
1963,4836166666.66667
1964,5973366666.66667
1965,5760761904.7619
1966,5428518518.51852
1967,5825170438.48704
1968,5960212869.12968
1969,6450175213.74923
1970,7198360460.19887
1971,7820380970.53674
1972,8671358732.68486
1973,10315760000.3394
1974,12370029583.6419
1975,13098633901.8673
1976,15341403660.4698
1977,19470960619.1297
1978,23263511958.0509
1979,27940411250.2732
1980,33400735644.0481
1981,36388366869.0309
1982,38968039721.748
1983,38729822781.5997
1984,38253120737.9671
1985,34894411351.983
1986,34942489683.9712
1987,36373307085.0887
1988,39212550050.4223
1989,39540080200.3938
1990,47844090709.9908
1991,49175565911.0655
1992,58418985443.3172
1993,66446804802.5747
1994,81703500846.0364
1995,92507279383.0387
1996,97160109277.8087
1997,106659508271.255
1998,98443739941.1664
1999,86186158684.7685
2000,99886577330.7271
2001,98211749595.5442
2002,97963003804.7851
2003,94641378693.223
2004,117081522349.677
2005,145619191582.061
2006,161618581266.316
2007,206181826825.28
2008,242186950900.775
2009,232397835678.336
2010,286563105192.456
2011,334943871931.745
2012,370921320483.841
2013,382116126448.554
2014,381112119657.445
2015,293481748240.778
2016,282825009887.458
2017,311883730690.129
2018,334198214706.209
2019,323109543324.321
2020,270299982887.01
2021,314322453228.295
