,Comoros
1980,212218226.429847
1981,196349967.670007
1982,184008995.643686
1983,191621958.375365
1984,184697209.997414
1985,196726077.061972
1986,279197696.814639
1987,337525870.616968
1988,356500026.691673
1989,341476764.044268
1990,429622147.743446
1991,424108796.562976
1992,457388578.924144
1993,452881443.084162
1994,319189200.353123
1995,398461789.558686
1996,396053797.633321
1997,364445589.702365
1998,370106776.043329
1999,382454989.945311
2000,351136568.441921
2001,378512003.405071
2002,425964697.418664
2003,546885184.990174
2004,633706149.25026
2005,653845122.872074
2006,698431827.740958
2007,795673128.485442
2008,915659192.825112
2009,905341090.570115
2010,907978723.547592
2011,1023086183.79822
2012,1015843368.79008
2013,1116224161.07781
2014,1149587651.69395
2015,966029542.038859
2016,1012835518.26037
2017,1077439662.5798
2018,1188797574.94753
2019,1195019559.09381
2020,1223876064.52345
2021,1327964249.32649
