,"Congo, Dem. Rep."
1960,3359404117.64706
1961,3086746857.14286
1962,3779841428.57143
1963,6213185742.57426
1964,2881545272.72727
1965,4043901818.18182
1966,4532660181.81818
1967,3384063371.75792
1968,3909780538.92216
1969,5032434970.05988
1970,4877684910.17964
1971,5594770359.28144
1972,6173712814.37126
1973,7870239461.07784
1974,9596960179.64072
1975,10237343173.6527
1976,9648583224.99212
1977,12344424763.5727
1978,15372608002.3923
1979,15068422236.3663
1980,14394927494.8647
1981,12537821038.2202
1982,13651667371.1676
1983,11006712650.4481
1984,7857729193.20343
1985,7195042616.0071
1986,8095367168.21769
1987,7661625472.57705
1988,8861299976.74158
1989,9021862775.18112
1990,9349764580.41173
1991,9633911368.01541
1992,8227200892.44213
1993,10706246370.9325
1994,5820382232.03468
1995,5643439373.42693
1996,5771454939.62404
1997,6090840548.18784
1998,6217806273.17637
1999,4711259427.27273
2000,19088046305.7971
2001,7438189100.33333
2002,8728038525.14034
2003,8937567059.87754
2004,10297483481.223
2005,11964484667.9102
2006,14451902467.9315
2007,16737071816.38
2008,19788515873.8942
2009,18648373312.4241
2010,21565720044.4634
2011,25839749198.8233
2012,29306235826.3885
2013,32679745297.6453
2014,35909040265.9328
2015,37917704900.0794
2016,37134799974.5225
2017,38019265625.8845
2018,47568210068.4862
2019,51775830725.8263
2020,48716960860.0664
2021,53958573693.0513
