,Croatia
1995,22717081924.7143
1996,24075166261.3779
1997,24091170702.5562
1998,25792876643.5087
1999,23677307509.4663
2000,21839780971.0268
2001,23273640257.1968
2002,27074550257.8118
2003,34985749883.4171
2004,41958833541.0995
2005,45780237257.1867
2006,50860788253.2176
2007,60542673502.5324
2008,70750646248.0563
2009,63084004705.0807
2010,60426018629.2992
2011,63169910822.1285
2012,57192346923.335
2013,58889082315.336
2014,58330289756.6914
2015,50163192883.1515
2016,52295158344.2544
2017,56214427431.2
2018,62247874948.8225
2019,62246206340.5469
2020,57203783203.0259
2021,67837788543.5852
